Instance,FCFS,SJF,SJF-P,RR
396,32.59013764748298,8.008956732805393,38.34379083142871,27.09081303121758
397,25.514828420088282,10.250778754246888,0,22.69737184713869
398,0.0,7.75314124018947,55.2024895929029,18.03990897970972
399,28.697254676887738,27.250328414860267,0,20.51557494905011
400,0,7.626770159302881,38.41693860053016,16.705126520068415
401,31.204292803509503,15.74242849189456,46.01934986936317,21.175683455231606
402,18.27844063707791,10.303981590356953,0,29.505856196282227
403,0,41.245363950570045,33.72706572541649,32.971482215275735
404,0,30.632203663302505,24.3026035178021,25.233857381194934
405,21.94221671105678,21.637625935821656,32.20299736505525,25.003232483881135
406,0.0,7.29406761375003,32.2886663005795,21.25422413819884
407,5.46871698841889,26.78508277106805,0.0,24.831633739969114
408,0.0,7.758593708271955,0.0,27.507316977147095
409,43.44805780949462,16.29931225958328,0.0,20.468112280738612
410,0.0,10.077764331018072,0.0,27.694743003548943
411,0.0,9.25683993662705,28.017773051004088,26.402853677451386
412,0.0,32.04949918795265,0.0,22.91540839528518
413,0.0,8.02865287833534,22.77426390502879,28.12191682544618
414,0.0,23.820601832653203,49.309221546301906,22.493404215132394
415,42.59015850042027,31.1675796124019,36.389623196904026,19.745546529932756
416,0.0,11.177231621483093,32.5948852144333,24.116017367555116
417,15.019961707278053,15.54520314389257,38.96274894781892,19.70840325161331
418,0.0,41.07461463836743,40.879414011395575,18.63971294244887
419,0.0,0.0,0.0,20.850539754960362
420,0.0,58.10465407613742,0.0,32.3125752414891
421,0.0,12.64187600380496,35.01664174589082,22.858626878874944
422,0.0,29.069766389276424,46.69662185481026,20.250976490827302
423,40.78198135030959,0,0.0,22.17749619783277
424,0.0,8.431415141798198,33.14594528483231,13.595675521608038
425,0.0,23.335951701227195,0,16.33986151457379
426,23.034865804383315,28.324544553539518,0.0,31.357605993228105
427,0,26.234242700704097,42.159646870903075,28.04093964343614
428,14.602903557266375,48.78465240798866,0.0,14.977226467118392
429,0.0,9.754941258479725,43.444609680595484,19.880397523641076
430,0.0,23.33770502518349,0.0,28.875645725309006
431,0.0,0,0.0,32.435035841361795
432,0.0,27.301043307357745,46.75079795846493,10.120839815213943
433,0.0,25.83782877376572,53.16119188225182,24.611605838384545
434,14.39607686383262,0,31.773374780333402,20.95181476206885
435,23.76587976493876,15.219807640433062,36.43338260074443,12.339038625636121
